Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
KF006398.1	Human papillomavirus 171	GenBank	set:KF006398		Martin,E., Dang,J., Bzhalava,D., Stern,J., Edelstein,Z.R., Koutsky,L.A., Kiviat,N.B., Feng,Q.	University of Washington, Pathology	USA	2013-12-16	unknown_strain	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7261	complete	NA	1	USA	USA	Homo sapiens	oronasopharynx	2009			Human papillomavirus type 171, complete genome	HPV_171	Global	2009-07-01	KF006398_1|Global|HPV_171|unknown_strain|2009-07-01
KF006399.1	Human papillomavirus 172	GenBank	set:KF006399		Martin,E., Dang,J., Bzhalava,D., Stern,J., Edelstein,Z.R., Koutsky,L.A., Kiviat,N.B., Feng,Q.	University of Washington, Pathology	USA	2013-12-16	unknown_strain	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	dsDNA	7203	complete	NA	1	USA	USA	Homo sapiens	oronasopharynx	2009			Human papillomavirus type 172, complete genome	HPV_172	Global	2009-07-01	KF006399_1|Global|HPV_172|unknown_strain|2009-07-01
KF006400.1	Human papillomavirus 173	GenBank	set:KF006400		Martin,E., Dang,J., Bzhalava,D., Stern,J., Edelstein,Z.R., Koutsky,L.A., Kiviat,N.B., Feng,Q.	University of Washington, Pathology	USA	2013-12-16	unknown_strain	Gammapapillomavirus 1	Gammapapillomavirus	Papillomaviridae	dsDNA	7297	complete	NA	1	USA	USA	Homo sapiens	oronasopharynx	2009			Human papillomavirus type 173, complete genome	HPV_173	Global	2009-07-01	KF006400_1|Global|HPV_173|unknown_strain|2009-07-01
GQ244463.1	Human papillomavirus type 114	GenBank	set:GQ244463		Ekstrom,J., Forslund,O., Dillner,J.	Institution of Laboratory Medicine, Department of Clinical Microbiology	Sweden	2010-03-03	unknown_strain	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8069	complete	NA	1	Sweden	Sweden	Homo sapiens		2006			Human papillomavirus type 114, complete genome	HPV_114	Global	2006-07-01	GQ244463_1|Global|HPV_114|unknown_strain|2006-07-01
FJ006723.1	Human papillomavirus type 16	GenBank	set:FJ006723		Hong,L.L., Hai,M.Z., Chun,Z.F.	College of Life Science and Technology, Xinjiang University, Xinjiang Key Laboratory of Biological Resources and Genetic Engineering	China	2008-08-20	unknown_strain	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7963	complete	NA	NA	China: Xinjiang province	China	Homo sapiens		2006-12-16			Human papillomavirus type 16, complete genome	HPV_16	Global	2006-12-16	FJ006723_1|Global|HPV_16|unknown_strain|2006-12-16
OR714748.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Julien,P., Pere,H., Veyer,D., Alemany,L.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	PE-50776	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2005			Human papillomavirus 42 isolate PE-50776, complete genome	HPV_42	Global	2005-07-01	OR714748_1|Global|HPV_42|PE-50776|2005-07-01
OR714749.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Julien,P., Pere,H., Veyer,D., Alemany,L.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	VU-21060	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2007			Human papillomavirus 42 isolate VU-21060, complete genome	HPV_42	Global	2007-07-01	OR714749_1|Global|HPV_42|VU-21060|2007-07-01
OR714750.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Julien,P., Pere,H., Veyer,D., Alemany,L.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	TT-14373	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	Uganda	Uganda	Homo sapiens		2005			Human papillomavirus 42 isolate TT-14373, complete genome	HPV_42	Global	2005-07-01	OR714750_1|Global|HPV_42|TT-14373|2005-07-01
OR714751.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	22X00112	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7663	complete	NA	NA	United Kingdom	United Kingdom	Homo sapiens		2022			Human papillomavirus 42 isolate 22X00112, complete genome	HPV_42	Global	2022-07-01	OR714751_1|Global|HPV_42|22X00112|2022-07-01
OR714752.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	22X00118	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7079	complete	NA	NA	France	France	Homo sapiens		2019			Human papillomavirus 42 isolate 22X00118, complete genome	HPV_42	Global	2019-07-01	OR714752_1|Global|HPV_42|22X00118|2019-07-01
